;lemmantized_reviews
703;['spent', 'four', 'night', 'vip', 'cottage', 'really', 'relaxing', 'comfortable', 'site', 'nice', 'even', 'thought', 'big', 'center', 'parcs', 'restaurant', 'usual', 'expensive', 'great', 'food', 'pool', 'area', 'fun', 'lot', 'activity', 'kid', 'four', 'good', 'day', 'even', 'though', 'weather', 'mostly', 'dull']
704;['stayed', 'france', 'week', 'half', 'term', 'looking', 'double', 'price', 'tour', 'operator', 'family', 'another', 'family', 'decided', 'stay', 'four', 'bed', 'cottagereviews', 'really', 'worried', 'yes', 'bit', 'worn', 'clean', 'great', 'base', 'four', 'bed', 'cottage', 'one', 'bedroom', 'downstairs', 'twin', 'accessed', 'staircase', 'two', 'bedroom', 'upstairs', 'accessed', 'another', 'staircase', 'two', 'family', 'great', 'space', 'well', 'togetherthe', 'kitchen', 'fine', 'long', 'remember', 'nt', 'oven', 'english', 'channel', 'bbc', 'cnnwe', 'report', 'broken', 'toilet', 'one', 'morning', 'within', 'hour', 'fixed', 'impressivewe', 'rented', 'bike', 'trailer', 'kid', 'also', 'walked', 'lot', 'zone', 'four', 'min', 'walk', 'quite', 'flat', 'lovely', 'walk', 'nt', 'far', 'away', 'golf', 'buggy', 'expensive', 'hence', 'went', 'bikesthe', 'area', 'beautiful', 'wildlife', 'see', 'lake', 'lovelywe', 'used', 'soft', 'play', 'lot', 'huge', 'safe', 'kid', 'kept', 'four', 'year', 'old', 'easily', 'entertained', 'huge', 'plus', 'cpthe', 'pool', 'great', 'water', 'temp', 'good', 'lazy', 'river', 'fantastic', 'despite', 'freezing', 'outside', 'boy', 'much', 'fun', 'pool', 'exhausted', 'themcleanliness', 'good', 'public', 'pool', 'nothing', 'put', 'bywe', 'shopped', 'carrefour', 'laon', 'huge', 'topped', 'rather', 'pricey', 'shop', 'site', 'fresh', 'fruit', 'bread', 'restaurant', 'site', 'expensive', 'ate', 'pizza', 'place', 'u20ac80', 'lunch', '7i', 'love', 'back', 'probably', 'another', 'continent', 'far', 'reasonable', 'one', 'rammed', 'half', 'term', 'either']
705;['worried', 'review', 'happy', 'person', 'vip', 'cottage', 'non', 'lakeside', 'chose', 'villa', '579', 'terrace', 'waterway', 'plenty', 'duck', 'coypu', 'feed', 'problem', 'cleanliness', 'mattress', 'looked', 'new', 'stripped', 'bed', 'departurepaid', 'euro', 'advance', 'family', 'minigolf', 'min', 'bowling', 'min', 'racquet', 'good', 'value', 'add', 'individual', 'cost', 'activity', 'u20ac12', 'jump', 'cool', 'jump', 'struggled', 'use', 'free', 'topping', 'got', 'booking', 'early', 'choice', 'limited', 'older', 'kid', 'nt', 'wannabe', 'baby', 'rope', 'course', 'used', 'bowling', '5pm', 'wasted', 'one', 'shame', 'could', 'nt', 'used', 'adult', 'high', 'rope', 'cool', 'jump', 'quad', 'biking', 'pony', 'ride', 'segway', 'recommend', 'shopping', 'carrefour', 'laon', 'bought', 'bread', 'pastry', 'onsite', 'bring', 'dolce', 'gusto', 'pod', 'big', 'mug', 'wine', 'glass', 'unless', 'like', 'thimblespool', 'good', 'although', 'water', 'quite', 'chilly', 'nowhere', 'near', 'enough', 'seating', 'lot', 'slide', 'rapid', 'powerful', 'erperheide', 'vosserman', 'villa', 'nicer', 'site', 'preferred', 'belgium', 'site', 'le', 'hilly', 'le', 'busy', 'feb', 'half', 'term', 'seemed', 'young', 'teenager']
706;['stayed', 'four', 'night', 'christmas', 'weather', 'great', 'real', 'bonus', 'park', 'lake', 'lovely', 'pool', 'reception', 'facility', 'good', 'cottage', 'stayed', 'bedroom', 'people', 'good', 'view', 'number', '536', 'good', 'layout', 'two', 'small', 'child', 'bit', 'dirty', 'tired', 'worn', 'feel', 'centre', 'parcs', 'market', 'upmarket', 'holiday', 'case', 'stayed', 'better', 'equipped', 'modern', 'mobile', 'home', 'french', 'camp', 'site', 'said', 'area', 'great', 'kid', 'loved', 'pool', 'restaurant', 'looked', 'good', 'nt', 'use', 'expensive', 'great', 'local', 'restaurant', 'village', 'two', 'minute', 'road', 'much', 'cheaper', 'centre', 'parcs', 'love', 'france', 'nt', 'expect', 'anything', 'plush']
707;['whilst', 'first', 'impression', 'may', 'meet', 'previous', 'stay', 'longleat', 'became', 'apparent', 'quickly', 'wonderful', 'place', 'imagine', 'like', 'summer', 'amazing', 'place', 'kid', 'centred', 'around', 'lake', 'accomodation', 'seems', 'old', 'compared', 'longleat', 'soon', 'get', 'swing', 'thing', 'move', 'quickly', 'cottage', '551', 'recommended', 'lake', 'private', 'garden', 'much', 'better', 'value', 'money', 'compared', 'drive', 'calais', 'take', 'hour', 'straight', 'road', 'way']
708;['rented', 'cottage', 'summer', 'little', 'family', 'vacationlocation', 'good', 'near', 'paris', 'drive', 'laons', 'see', 'cathedralservice', 'housekeeping', 'horrible', 'housekeeping', 'left', 'window', 'open', 'leaf', 'everywhere', 'cottage', 'including', 'bed', 'one', 'stray', 'cat', 'probably', 'peed', 'foyer', 'welcoming', 'smell', 'awesome', 'spider', 'web', 'everywhere', 'sofa', 'nasty', 'stain', 'wall', '', 'dishwasher', 'smelly', 'stagnant', 'water', 'call', 'maintenance', 'came', 'back', 'still', 'run', 'dishwasher', 'multiple', 'time', 'never', 'used', 'smell', 'horrible', 'opening', 'bottom', 'line', 'housekeeping', 'could', 'care', 'le', 'saw', 'smoke', 'outisde', 'cottage', 'guess', 'really', 'nt', 'check', 'jobstv', 'reception', 'poorwe', 'asked', 'towel', 'sheet', 'package', 'rented', 'cottage', 'people', 'asked', 'paid', 'number', 'package', 'arrive', 'cottage', 'reception', 'remind', 'pool', 'area', 'come', 'back', 'dropped', 'right', 'amount', 'towel', 'mean', 'heck', 'pool', 'amenity', 'ok', 'water', 'dirty', 'hair', 'bandaids', '', 'people', 'rude', 'careless', 'elbow', 'pushing', 'river', 'even', 'young', 'child', 'lifeguard', 'sit', 'chair', 'waiting', 'shift', 'endconvenient', 'store', 'little', 'fresh', 'produce', 'guess', 'easier', 'manage', 'stock', 'frozen', 'stuff', 'potato', 'chipsif', 'group', 'friend', 'willing', 'fun', 'expect', 'nice', 'little', 'cottage', 'family', 'fun', 'pool', 'might', 'disappointed']
709;['stayed', 'late', 'august', '2015', 'vip', 'lodge', 'booked', 'paid', 'price', 'stay', 'week', 'inc', 'ferry', 'fuel', 'insurance', 'night', 'hotel', 'dover', 'would', 'paid', 'night', 'time', 'centre', 'parcs', 'little', 'put', 'people', 'review', 'decided', 'vip', 'villa', 'try', 'could', 'good', 'holiday', 'certainly', 'paid', 'vip', 'villa', 'comfy', 'enough', 'clean', 'little', 'tired', 'place', 'nothing', 'unacceptablethe', 'facility', 'also', 'adequate', 'two', 'child', 'great', 'time', 'poolwe', 'liked', 'much', 'going', 'back', 'august', '2016']
710;['aquamundo', 'might', 'best', 'centerparcs', 'young', 'till', 'old', 'everyone', 'something', 'fun', 'also', 'big', 'center', 'layout', 'big', 'winter', 'garden', 'restaurant', 'oke', 'expect', 'better', 'quality', 'price', 'bit', 'cheaper', 'still', 'would', 'pay', 'get', 'better', 'food', 'opening', 'time', 'also', 'bit', 'strange', 'definitly', 'look', 'opening', 'time', 'restaurant', 'plan', 'activity', 'might', 'stuck', 'swimming', 'pool', 'nothing', 'drink', 'eat', '14hcottages', 'clean', 'course', 'might', 'bug', 'spider', 'middle', 'wood', 'nt', 'keep', 'general', 'clean', 'cottage', 'however', 'getting', 'old', 'kitchen', 'need', 'replacement', 'time', 'vip', 'cottage', 'would', 'expect', 'nice', 'flat', 'screen', 'well', '39cm', '34', 'wide', 'screen', 'nt', 'definitly', 'unworthy', 'vip', 'cottage', 'time', 'build', 'eden', 'cottage', 'major', 'overhaul', 'current', 'one']
711;['spent', 'four', 'night', 'hear', 'friend', 'bit', 'disappointed', 'much', 'going', 'season', 'pool', 'good', 'slide', 'mediocre', 'villa', 'premier', 'villa', 'unfortunately', 'got', 'one', 'bush', 'way', 'lovely', 'view', 'lake', 'found', 'bed', 'bit', 'disappointing', 'would', 'recommend', 'centre', 'park', 'belgium', 'much', 'better']
712;['problem', 'booking', 'called', 'call', 'center', 'waited', 'min', '023', 'u20acmin', 'spoke', 'representative', 'said', 'could', 'help', 'insisted', 'repeatedely', 'asked', 'speak', 'supervisor', 'request', 'flatly', 'denied', 'even', 'pretend', 'supervisor', 'busy', 'offered', 'callback', 'either', 'apology', 'quot', 'process', 'quot', 'got']
713;['nice', 'place', 'stay', 'lake', 'view', 'lovely', 'lot', 'walking', 'car', 'free', 'centre', 'parcs', 'lot', 'activity', 'centre', 'parcs', 'restaurant', 'open', 'long', 'period', 'swimming', 'pool', 'great']
714;['staying', 'netherlands', 'location', 'decided', 'give', 'france', 'chanceafter', 'reading', 'review', 'tripadvisor', 'came', 'concern', 'pleasantly', 'surprisedwe', 'party', 'including', 'kid', 'amp', 'took', 'hour', 'amp', 'minute', 'cdg', 'airport', 'easy', 'find', 'clear', 'sign', 'getting', 'closer', 'parc', 'locationthe', 'nearest', 'city', 'parc', 'laon', '1520', 'min', 'away', 'fuel', 'car', 'next', 'laon', 'amp', 'visit', 'one', 'many', 'restaurant', 'city', 'wish', 'supermarket', 'find', 'carrefour', 'supermarket', 'entrance', 'laon', 'huge', 'supermarket', 'nearly', '12', 'price', 'many', 'product', 'comparing', 'price', 'lac', 'dailette', 'center', 'parcs', 'supermarketthe', 'checkin', 'fast', 'amp', 'easy', 'used', 'online', 'checkin', 'prior', 'arrival', 'received', 'key', 'right', 'gate', 'electronic', 'key', 'surprise', 'center', 'parcs', 'stayed', 'zone', 'zero', 'far', 'aqua', 'mundo', 'restaurant', 'supermarket', 'main', 'parc', 'facility', 'still', 'note', 'parc', 'huge', 'walking', 'might', 'difficult', 'villa', 'took', 'minute', 'walk', 'aqua', 'mundo', 'relatively', 'closethe', 'setup', 'villa', 'around', 'premise', 'beautiful', 'story', 'colorful', 'villa', 'around', 'parc', 'great', 'view', 'villa', 'premium', 'cottage', 'included', 'level', 'first', 'level', 'double', 'bed', 'bedroom', 'shower', 'amp', 'toilet', 'living', 'room', 'kitchen', 'amp', 'covered', 'terrace', 'second', 'level', 'additional', 'bedroom', 'one', 'double', 'bed', 'single', 'bed', 'bathroom', 'toilet', 'inside', 'bathroom', 'upstairs', 'well', 'closet', 'inside', 'bedroom', 'amp', 'corridor', 'villa', 'clean', 'really', 'picky', 'find', 'broken', 'tile', 'worn', 'furniture', 'star', 'hotel', 'come', 'expectation', 'star', 'hotel', 'great', 'villa', 'forest', 'area', 'great', 'usheating', 'system', 'working', 'great', 'around', 'villa', 'really', 'made', 'difference', 'trying', 'dry', 'towelskitchen', 'well', 'equipped', 'dish', 'silverware', 'cooking', 'pot', 'cooking', 'pan', 'everything', 'need', 'accommodate', 'party', 'issue', 'accommodate', 'people', 'true', 'oven', 'kitchen', 'nt', 'need', 'one', 'eitherthey', 'supply', 'kitchen', 'towel', 'dishwasher', 'tablet', 'washing', 'cloth', 'one', 'garbage', 'bad', 'room', 'bed', 'made', 'nice', 'bathroom', 'get', 'one', 'toilet', 'paper', 'rollso', 'make', 'life', 'stay', 'easier', 'make', 'sure', 'bring', 'following', 'toilet', 'paper', 'roll', 'must', 'couple', 'roll', 'paper', 'towel', 'extra', 'kitchen', 'towel', 'extra', 'garbage', 'bag', 'important', 'bring', 'couple', 'towel', 'use', 'bathroom', 'floor', 'carpet', 'bathroom', 'get', 'wet', 'take', 'shower', 'nt', 'take', 'towel', 'package', 'parc', 'make', 'sure', 'bring', 'set', 'towel', 'per', 'person', 'one', 'home', 'use', 'second', 'poolwe', 'brought', 'sugar', 'salt', 'coffee', 'small', 'bag', 'nt', 'find', 'anywhere', 'buy', 'small', 'portionssleeping', 'quality', 'nt', 'something', 'write', 'home', 'mattress', 'soft', 'defiantly', 'need', 'replaced', 'pillow', 'awful', 'bring', 'canthe', 'aqua', 'mundo', 'superb', 'outstanding', 'nice', 'sized', 'main', 'wave', 'pool', 'huge', 'many', 'slide', 'counted', 'fun', 'kid', 'age', 'great', 'pool', 'area', 'little', 'one', 'well', 'entire', 'area', 'aqua', 'mundo', 'well', 'kept', 'clean', 'find', 'locker', 'entrance', 'pool', 'area', 'locker', 'refundable', '1u20ac', 'get', '1u20ac', 'coin', 'return', 'locker', 'key', 'locker', 'use', 'many', 'time', 'wantwe', 'took', 'quot', 'family', 'wifi', 'quot', 'card', 'give', 'day', 'use', 'different', 'device', 'wifi', 'service', 'kpn', 'network', 'working', 'fine', 'especially', 'villa', 'working', 'fine', 'around', 'parc', 'need', 'register', 'network', 'day', 'kind', 'annoying', 'need', 'need', 'order', 'stay', 'connected', 'take', 'pic', 'wifi', 'card', 'password', 'handthe', 'activity', 'nice', 'many', 'wrote', 'activity', 'pricy', 'took', 'bowling', 'trampoline', 'mini', 'quad', 'year', 'old', 'segway', 'tour', '16u20ac', 'minute', 'tour', 'around', 'parc', '1015', 'minute', 'get', 'gear', 'amp', 'training', 'amp', '1520', 'minute', 'ride', 'animal', 'farm', 'disappointing', 'hardly', 'animal', 'plan', 'activity', 'parc', 'take', 'note', 'friday', 'amp', 'monday', 'checkin', 'amp', 'checkout', 'day', 'parc', 'almost', 'paid', 'activity', 'plan', 'activity', 'accordingly', 'make', 'sure', 'check', 'activity', 'plan', 'information', 'brochure', 'get', 'upon', 'checkin', 'use', 'app', 'great', 'eat', 'pizza', 'restaurant', 'dome', 'giardino', 'nt', 'bad', 'nice', 'sized', 'pizza', '10u20ac15u20acother', 'laon', 'went', 'couple', 'time', 'paris', 'hour', 'minute', 'drive', 'away', 'disneyland', 'paris', 'hour', 'minute', 'drive', 'away', 'using', 'toll', 'highway', '6u20ac', 'way', 'staff', 'lac', 'dailette', 'speaks', 'english', 'french', 'ready', 'language', 'challengesoverall', 'great', 'stay', 'location', 'favorite', 'far', 'choose', 'return', 'center', 'parcs', 'lac', 'dailette', 'first', 'choice']
715;['came', 'armed', 'antibacterial', 'wipe', 'spray', 'utensil', 'plate', 'cup', 'air', 'freshener', 'review', 'read', '', 'well', 'praise', 'place', 'amazing', 'entered', 'house', '484', 'complete', 'toilet', 'large', 'open', 'plan', 'downstairs', 'bedroom', 'upstairs', 'immediately', 'felt', 'home', 'oven', 'already', 'knew', 'review', 'prepared', 'hole', 'bedroom', 'curtain', 'live', 'pillow', 'bit', 'lumpy', 'took', 'anyway', 'everything', 'else', 'perfect', 'clean', 'dishwasher', 'bonus', 'yes', 'bird', 'poo', 'cobweb', 'exterior', 'let', 'forget', 'center', 'parcs', 'based', 'around', 'forest', 'expect', 'staff', 'lovely', 'gave', 'free', 'activity', 'free', 'wine', 'free', 'dessert', 'always', 'happy', 'helpful', 'pool', 'area', 'clean', 'lot', 'slide', 'suitable', 'age', 'allowed', 'take', 'photo', 'pool', 'area', 'although', 'staff', 'going', 'round', 'taking', 'photo', 'purchase', 'also', 'say', 'picnic', 'saw', 'many', 'people', 'drink', 'staff', 'complained', 'weather', 'amazing', 'whole', 'place', 'quiet', 'maybe', 'good', 'would', 'definitely', 'recommend', 'coming', 'end', 'school', 'holiday', 'paid', 'le', 'half', 'price', 'holiday', 'center', 'parcs', 'inc', 'fuel', 'ferry', 'gite', 'night', 'food', 'drink', 'site', 'expensive', 'prepare', 'advance', 'cooked', 'breakfast', 'dinner', 'home', 'brought', 'drink', 'bowling', 'bar', 'happy', 'hour', '5pm8pm', 'dessert', 'italian', 'restaurant', 'wine', 'u20ac10', 'litre', 'supermarket', 'laon', 'called', 'leclercs', 'brought', 'food', 'drink', 'also', 'brought', 'couple', 'disposable', 'bbq', 'activity', 'site', 'good', 'although', 'seem', 'laid', 'back', 'health', 'safety', 'aspect', 'especially', 'zip', 'wire', 'indoor', 'mini', 'golf', 'u20ac850', 'adult', 'outdoor', 'mini', 'golf', 'u20ac10', 'euro', 'adult', 'paid', 'u20ac11', 'u12', 'shared', 'club', 'free', 'jump', 'u20ac8', 'jump', 'u20ac12', 'jump', 'advise', 'jump', 'asked', 'back', 'extra', 'jump', 'free', 'quad', 'biking', 'u20ac11', 'u12', 'adult', 'quad', 'biking', 'u20ac16', 'said', 'year', 'old', 'could', 'adult', 'quad', 'wanted', 'definitely', 'worth', 'money', 'nt', 'hire', 'bike', 'house', 'minute', 'walk', 'complex', 'happy', 'walk', 'altho', 'next', 'time', 'take', 'bike', 'hire', 'tour', 'whole', 'park', 'booked', 'wifi', 'day', 'u20ac25', 'device', 'worked', 'perfect', 'one', 'english', 'news', 'channel', 'boy', 'ipads', 'good', 'keeping', 'entertained', 'evening', 'visited', 'center', 'parcs', 'europe', 'year', 'ago', 'even', 'better', 'remember', 'worth', 'every', 'penny', 'definitely', 'back']
716;['stayed', 'lazy', 'week', 'returned', 'year', '', 'nt', 'changed', 'still', 'decent', 'value', 'still', 'got', 'absolute', 'best', 'wild', 'water', 'rapid', 'anyone', '', 'total', 'hilariousness', '', 'noticed', 'eating', 'option', 'bit', 'limiting', 'time', 'family', 'getting', 'older', 'nice', 'mix', 'self', 'catering', 'eating', 'visit', 'hardly', 'matter', 'food', 'younger', 'kid', 'excellentwould', 'recommend', 'paying', 'extra', 'mountain', 'bike', 'hiring', 'old', 'bike', 'need', 'bit', 'tlc', '', 'staff', 'could', 'nt', 'enough', 'friendly', 'helpful', 'throughoutaccommodation', 'wise', 'clean', 'comfortable', 'especially', 'memory', 'foam', 'bedsbut', 'water', 'rapid', 'best']
717;['family', 'center', 'parcs', 'france', 'tried', 'comfort', 'plus', 'believe', 'called', 'privilege', 'one', 'sauna', 'jacuzziwhat', 'striking', 'center', 'parcs', 'natural', 'mix', 'water', 'forest', 'surroundings', 'account', 'every', 'taste', 'accommodation', 'two', 'level', 'inconvenienced', 'offered', 'plenty', 'space', 'always', 'used', 'half', 'board', 'method', 'great', 'child', 'small', 'free', 'believe', 'unique', 'site', 'restaurant', 'always', 'really', 'good', 'food', 'offer', 'aficionado', 'buffet', 'beware', 'large', 'company', 'seminar', 'likely', 'requisition', 'whole', 'restaurant', 'elsewhere', 'center', 'easy', 'access', 'paris', 'center', 'parcs', 'unfortunately', 'activity', 'pricey', 'enjoyable', 'say', 'anything', 'aquamondo', 'except', 'dream', 'childrenwe', 'always', 'enjoyed', 'warm', 'welcome', 'staff', 'came', 'back', 'particular', 'site', 'time', 'recent', 'stand', 'overall', 'rating', 'best', 'thank']
718;['booked', 'week', 'premier', 'lakeside', 'villavilla', 'tatty', 'worn', 'outshower', 'tap', 'falling', 'wall', 'chair', 'rickety', 'bird', 'poo', 'everywhere', 'verandah', 'unusablebedding', 'threadbare', 'little', 'boy', 'hole', 'cried', 'thought', 'bug', 'eating', 'causing', 'holesstaff', 'aloof', 'much', 'smoking', 'allowed', 'site', 'caters', 'child', 'toilet', 'aqua', 'mundo', 'floor', 'swimming', 'pool', 'area', 'filthycycle', 'hire', 'staff', 'quite', 'rude', 'admittedly', 'french', 'limited', 'english', 'pooreralthough', 'paid', 'week', 'ended', 'staying', 'golf', 'hotel', 'around', 'side', 'lake', 'night', 'disappointedrestaurant', 'would', 'nt', 'serve', 'drink', 'without', 'food', 'cafe', 'stacked', 'staff', 'majority', 'eatery', 'closed', 'limited', 'opening', 'time', '', 'august', 'farm', 'health', 'hazardneeds', 'major', 'investmentwo', 'nt', 'going', 'back']
719;['think', 'reading', 'review', 'cottage', 'updated', 'vip', 'cottage', 'filthy', 'stain', 'wall', 'hole', 'sofa', 'dishwasher', 'replaced', 'everything', 'ended', 'bit', 'explained', 'glass', 'looked', 'like', 'put', 'away', 'without', 'washed', 'food', 'disappointing', 'staff', 'trying', 'serve', 'large', 'number', 'crazy', 'golf', 'u20ac10', 'per', 'person', 'lakeside', 'setting', 'beautiful', 'weather', 'stunning', 'cottage', 'looked', 'pretty', 'outside', 'sauna', 'nt', 'use', 'nt', 'mind', 'shrub', 'edge', 'lake', 'hot', 'offered', 'shade', 'sure', 'get', 'newer', 'cottage', 'would', 'great', 'place', 'take', 'family']
720;['well', 'disappointed', 'parkwe', 'booked', 'lakeside', 'cottage', 'didnt', 'get', 'lakeside', 'view', 'instead', 'got', 'grown', 'area', 'tree', 'blocking', 'lakeside', 'view', 'paid', 'extra', 'amp', 'honset', 'needed', 'gardener', 'soetbit', 'outn', 'amp', 'sure', 'would', 'fineour', 'cottage', 'aboustly', 'filthy', 'top', 'bottom', 'white', 'sunloungers', 'veranda', 'covered', 'green', 'mould', 'place', 'nt', 'cleaned', 'long', 'time', 'real', 'shame', 'adivce', 'going', 'place', 'make', 'sure', 'take', 'cleaning', 'material', 'youthe', 'whole', 'place', 'need', 'good', 'vamp', 'upanother', 'thing', 'found', 'really', 'starange', 'family', 'resorte', 'nothing', 'open', 'till', 'morning', 'find', 'little', 'bazaar', 'especially', 'little', 'one', 'cash', 'machine', 'available', 'medical', 'centre', 'activity', 'thats', 'nitemare', 'advise', 'book', 'come', 'webstie', 'tried', 'time', 'amp', 'would', 'nt', 'let', 'book', 'even', 'tried', 'email', 'request', 'help', 'reply', 'whats', 'ever', 'end', 'tried', 'call', 'number', 'supply', 'webste', 'answer', 'yes', 'everyday', 'book', 'child', 'activity', 'warned', 'would', 'lucky', 'get', 'day', 'amp', 'time', 'suiet', 'aboustly', 'everything', 'craxy', 'golf', 'bowling', 'etc', 'etc', 'booked', 'bad', 'managementcoupke', 'good', 'point', 'bed', 'really', 'comfortable', 'amp', 'want', 'book', 'lakeview', 'would', 'suggest', 'near', 'beach', 'possibleoh', 'amp', 'rubber', 'glove', '']
721;['took', 'monfri', 'tip', 'took', 'hour', 'calais', 'stop', 'booked', 'vip', 'cottage', 'trip', 'still', 'cheaper', 'basic', 'cottage', 'parc', 'really', 'spacious', 'place', 'huge', 'beach', 'area', 'next', 'lake', 'cottage', 'usual', 'bland', 'chalet', 'include', 'storey', 'one', 'door', 'opened', 'electronic', 'card', 'arrive', 'early', 'switch', 'need', 'try', 'time', 'arrival', 'car', 'park', 'near', 'middle', 'stretch', 'leg', 'etc', 'internal', 'lake', 'level', 'bit', 'low', 'still', 'saw', 'duck', 'swan', 'coypu', 'pelican', 'moorhen', 'lot', 'bird', 'friendly', 'cat', 'wandering', 'indeed', 'light', 'sleeper', 'may', 'want', 'earplug', 'avoid', 'kept', 'awake', 'duck', 'quacking', 'usual', 'stuff', 'however', 'aquamundo', 'amazing', 'slide', 'outside', 'dark', 'outdoor', 'rapid', 'lovely', 'warm', 'outdoor', 'pool', 'like', 'football', 'take', 'ball', 'pitch', 'cool', 'electronic', 'skill', 'game', 'kept', 'boy', 'amused', 'age', 'booking', 'activity', 'take', 'age', 'always', 'long', 'queue', 'check', 'weather', 'forecast', 'book', 'many', 'possible', 'badminton', 'table', 'tennis', 'good', 'value', 'book', 'family', 'activity', 'pack', 'advance', 'get', 'bowling', 'crazy', 'golf', 'amp', 'badminton', 'table', 'tennis', 'cheaply', 'thing', 'let', 'food', 'bit', 'food', 'court', 'quality', 'nt', 'great', 'grill', 'restaurant', 'overpriced', 'garlic', 'bread', 'pizza', 'place', 'ask', 'without', 'pesto', 'totally', 'drenched', 'best', 'place', 'actually', 'buffet', 'restaurant', 'enough', 'variety', 'keep', 'kid', 'happy', 'nt', 'worry', 'slow', 'service', 'back', 'yes', 'definitely', 'probably', 'cottage', 'right', 'main', 'lake', 'rather', 'internal', 'one']
722;['lovely', 'location', 'lake', 'easy', 'drive', 'channel', 'tunnel', 'whole', 'resort', 'could', 'face', 'lift', 'stayed', 'vip', 'lake', 'view', 'cottage', 'nt', 'feel', 'vip', 'furniture', 'worn', 'wall', 'battered', 'also', 'kitchen', 'utterly', 'inadequate', 'family', 'easy', 'self', 'catering', 'eating', 'restaurant', 'site', 'pretty', 'expensive', 'lunch', 'soft', 'drink', 'u20ac', '65massive', 'queue', 'book', 'activitieslots', 'though', 'year', 'old', 'element', 'water', 'park']
723;['good', 'stay', 'last', 'year', 'got', 'feeling', 'standard', 'slipped', 'running', 'place', 'ground', 'pool', 'area', 'still', 'good', 'lake', 'side', 'activity', 'plus', 'new', 'bit', 'like', 'zip', 'lining', 'booked', 'lake', 'side', 'cottage', 'damp', 'mark', 'every', 'smell', 'sewage', 'downstairs', 'balcony', 'one', 'main', 'reason', 'room', 'type', 'filthy', 'clean', 'well', 'furniture', 'wifi', 'nt', 'work', 'calling', 'hotspot', 'provider', 'netherlands', 'told', 'wifi', 'cottage', '510', 'order', 'week', 'although', 'center', 'parcs', 'refused', 'accept', 'lead', 'many', 'visit', 'reception', 'always', 'long', 'queue', 'never', 'resolved', 'restaurant', 'nt', 'follow', 'printed', 'opening', 'time', 'thus', 'considered', 'food', 'delivery', 'option', 'half', 'available', 'item', 'available', 'due', 'restaurant', 'technical', 'issue']
724;['party', 'two', 'vip', 'waterside', 'villa', 'aged', 'previous', 'review', 'apprehensive', 'cleanliness', 'pleasantly', 'surprised', 'villa', 'clean', 'honest', 'tired', 'facility', 'younger', 'child', 'excellent', 'felt', 'grown', 'ups', 'bit', 'looked', 'compared', 'english', 'centre', 'parcs', 'golf', 'buggy', 'godsend', 'curse', 'hired', 'one', 'fantastic', 'getting', 'villa', 'main', 'centre', 'minute', 'walk', 'away', 'time', 'one', 'driven', 'fast', 'child', 'made', 'dangerous', 'small', 'one', 'walking', 'riding', 'park', 'would', 'perhaps', 'better', 'buggy', 'bit', 'restricted', 'road', 'prevent', 'road', 'dedicated', 'cycling', 'walking', 'pool', 'area', 'fantastic', 'although', 'become', 'crowded', 'due', 'visiting', 'coach', 'party', 'staff', 'pleasant', 'whilst', 'would', 'expect', 'speak', 'english', 'made', 'booking', 'thing', 'activity', 'difficult', 'simple', 'solution', 'would', 'maybe', 'printed', 'sheet', 'point', 'picture', 'something', 'similar', 'would', 'save', 'frustration', 'side', 'overall', 'enjoyable', 'week', 'nt', 'think', 'would', 'rush', 'return']
725;['several', 'center', 'parcs', 'one', 'france', 'many', 'year', 'agounfortunately', 'accommodation', 'need', 'good', 'clean', 'many', 'cobweb', 'fly', 'kitchen', 'hair', 'bathroom', 'balcony', 'overlooking', 'lake', 'bird', 'floor', 'furniture', 'fortuna', 'let', 'teenaged', 'son', 'nt', 'spend', 'much', 'time', 'cottagethe', 'pool', 'slide', 'nowhere', 'near', 'good', 'one', 'particularly', 'woburn', 'visited', 'month', 'earlier', 'quality', 'food', 'italian', 'grill', 'restaurant', 'good', 'staff', 'welcoming', 'service', 'however', 'slow', 'due', 'number', 'staff', 'duty', 'also', 'problem', 'bar', 'staff', 'working', 'one', 'time', 'activity', 'good', 'enjoyed', 'high', 'wire', 'however', 'nowhere', 'near', 'enough', 'staff', 'whole', 'process', 'slowin', 'summary', 'cottage', 'need', 'attention', 'center', 'parcs', 'need', 'staff', 'provide', 'better', 'service']
